,Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 3 Percentages,Last 3 Correct,Last 5 Percentages,Last 5 Correct,Temperature,Wind,Humidity,Precipitation,Forecast,Stadium,Roof,Surface,Odds,Units,Payout,Profit,Correct,Actual Value
0,D.Jones o29.5 Rush Yds,PropBomb,New York Giants,d.jones,Dallas Cowboys,1,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,73,6,84,44,Rain,MetLife,outdoors,turf,-110.0,1.1,2.1,1.0,N,3.0
1,R.Dowdle o39.5 Rush Yds,Theotherbabs,Dallas Cowboys,r.dowdle,New York Giants,0,0.0,0,0.0,0,0.0,0,73,6,84,44,Rain,MetLife,outdoors,turf,-110.0,1.0,1.9090909090909087,0.9090909090909092,Y,46.0
2,C.Lamb o80.5 Rec Yds,sandyplashkes,Dallas Cowboys,c.lamb,New York Giants,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,73,6,84,44,Rain,MetLife,outdoors,turf,-120.0,1.2,2.2,1.0000000000000002,Y,98.0
3,J.Ferguson o0.5 rush_td+rec_td,GDAWG5000,Dallas Cowboys,j.ferguson,New York Giants,0,0.0,0,0.0,0,0.0,0,73,6,84,44,Rain,MetLife,outdoors,turf,270.0,1.0,3.7,2.7,N,0.0
4,C.Lamb o85.5 Rush + Rec Yds,RoyalsProps,Dallas Cowboys,c.lamb,New York Giants,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,6,84,44,Rain,MetLife,outdoors,turf,-115.0,1.15,2.1499999999999995,0.9999999999999996,Y,106.0
5,R.Dowdle o10.5 Rec Yds,KyleJustBets,Dallas Cowboys,r.dowdle,New York Giants,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,6,84,44,Rain,MetLife,outdoors,turf,-120.0,1.0,1.8333333333333333,0.8333333333333335,Y,15.0
6,R.Dowdle o51.5 Rush + Rec Yds,ThePropfessor_,Dallas Cowboys,r.dowdle,New York Giants,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,6,84,44,Rain,MetLife,outdoors,turf,-115.0,1.15,2.1499999999999995,0.9999999999999996,Y,61.0
7,D.Singletary u2.5 Recs,MoneylineHacks,New York Giants,d.singletary,Dallas Cowboys,1,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,73,6,84,44,Rain,MetLife,outdoors,turf,128.0,1.0,2.28,1.2800000000000002,Y,1.0
8,E.Elliott o1.5 Recs,MoneylineHacks,Dallas Cowboys,e.elliott,New York Giants,0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,6,84,44,Rain,MetLife,outdoors,turf,125.0,1.0,2.25,1.25,N,1.0
9,D.Prescott o7.5 Rush Yds,MoneylineHacks,Dallas Cowboys,d.prescott,New York Giants,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,73,6,84,44,Rain,MetLife,outdoors,turf,-114.0,1.0,1.8771929824561404,0.8771929824561404,N,-1.0
10,C.Lamb o76.5 Rec Yds,GDAWG5000,Dallas Cowboys,c.lamb,New York Giants,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,73,6,84,44,Rain,MetLife,outdoors,turf,-114.0,0.57,1.0699999999999998,0.4999999999999999,Y,98.0
11,W.Robinson o34.5 receiving yards,Rotowire Sleeper,New York Giants,w.robinson,Dallas Cowboys,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,73,6,84,44,Rain,MetLife,outdoors,turf,100.0,1.5,3.0,1.5,Y,71.0
12,B.Cooks o36.5 receiving yards,Rotowire Sleeper,Dallas Cowboys,b.cooks,New York Giants,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,73,6,84,44,Rain,MetLife,outdoors,turf,100.0,1.5,3.0,1.5,N,16.0
13,D.Singletary u62.5 rushing yards,Rotowire Prizepicks,New York Giants,d.singletary,Dallas Cowboys,1,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,73,6,84,44,Rain,MetLife,outdoors,turf,100.0,1.5,3.0,1.5,Y,24.0
